8.4, -30.6, 21.4
8.4, -34.4, 24.9
8.4, -38.2, 28.5
8.4, -42.0, 32.0
8.3, -45.8, 35.6
8.3, -49.6, 39.1
8.3, -53.3, 42.5
8.3, -57.1, 46.0
12.3, 47.4, -63.1
12.4, 44.0, -59.3
12.4, 40.5, -55.5
12.5, 37.1, -51.7
12.5, 33.5, -48.0
12.5, 30.0, -44.2
12.6, 26.5, -40.4
12.6, 22.9, -36.6
12.6, 19.3, -32.8
12.7, 15.7, -29.0
12.7, 12.0, -25.2
12.7, 8.4, -21.4
12.7, 4.7, -17.7
12.7, 1.0, -13.9
12.7, -2.7, -10.2
12.7, -6.4, -6.4
12.7, -10.2, -2.7
12.7, -13.9, 1.0
12.7, -17.7, 4.7
12.7, -21.4, 8.4
12.7, -25.2, 12.0
12.7, -29.0, 15.7
12.6, -32.8, 19.3
12.6, -36.6, 22.9
12.6, -40.4, 26.5
12.5, -44.2, 30.0
12.5, -48.0, 33.5
12.5, -51.7, 37.1
12.4, -55.5, 40.5
12.4, -59.3, 44.0
16.4, 45.5, -65.3
16.4, 42.0, -61.5
16.5, 38.6, -57.7
16.6, 35.1, -53.9
16.6, 31.5, -50.2
16.7, 28.0, -46.4
16.7, 24.4, -42.6
16.8, 20.8, -38.8
16.8, 17.2, -35.0
16.8, 13.6, -31.2
16.9, 9.9, -27.4
16.9, 6.3, -23.6
16.9, 2.6, -19.8
16.9, -1.1, -16.1
16.9, -4.9, -12.3
16.9, -8.6, -8.6
16.9, -12.3, -4.9
16.9, -16.1, -1.1
16.9, -19.8, 2.6
16.9, -23.6, 6.3
16.9, -27.4, 9.9
16.8, -31.2, 13.6
16.8, -35.0, 17.2
16.8, -38.8, 20.8
16.7, -42.6, 24.4
16.7, -46.4, 28.0
16.6, -50.2, 31.5
16.6, -53.9, 35.1
16.5, -57.7, 38.6
16.4, -61.5, 42.0
20.4, 43.5, -67.5
20.5, 40.1, -63.7
20.6, 36.6, -59.9
20.7, 33.0, -56.1
20.7, 29.5, -52.4
20.8, 25.9, -48.6
20.8, 22.4, -44.8
20.9, 18.8, -41.0
20.9, 15.1, -37.2
21.0, 11.5, -33.4
21.0, 7.8, -29.6
21.0, 4.1, -25.8
21.1, 0.4, -22.0
21.1, -3.3, -18.2
21.1, -7.0, -14.5
21.1, -10.7, -10.7
21.1, -14.5, -7.0
21.1, -18.2, -3.3
21.1, -22.0, 0.4
21.0, -25.8, 4.1
21.0, -29.6, 7.8
21.0, -33.4, 11.5
20.9, -37.2, 15.1
20.9, -41.0, 18.8
20.8, -44.8, 22.4
20.8, -48.6, 25.9
20.7, -52.4, 29.5
20.7, -56.1, 33.0
20.6, -59.9, 36.6
20.5, -63.7, 40.1
24.4, 41.6, -69.7
24.5, 38.1, -65.9
24.6, 34.6, -62.1
24.7, 31.0, -58.4
24.8, 27.5, -54.6
24.9, 23.9, -50.8
24.9, 20.3, -47.0
25.0, 16.7, -43.2
25.1, 13.1, -39.4
25.1, 9.4, -35.6
25.1, 5.7, -31.8
25.2, 2.0, -28.0
25.2, -1.7, -24.2
25.2, -5.4, -20.4
25.2, -9.1, -16.6
25.2, -12.9, -12.9
25.2, -16.6, -9.1
25.2, -20.4, -5.4
25.2, -24.2, -1.7
25.2, -28.0, 2.0
25.1, -31.8, 5.7
25.1, -35.6, 9.4
25.1, -39.4, 13.1
25.0, -43.2, 16.7
24.9, -47.0, 20.3
24.9, -50.8, 23.9
24.8, -54.6, 27.5
24.7, -58.4, 31.0
24.6, -62.1, 34.6
24.5, -65.9, 38.1
28.4, 39.6, -71.9
28.5, 36.1, -68.1
28.7, 32.6, -64.3
28.8, 29.0, -60.6
28.9, 25.5, -56.8
28.9, 21.9, -53.0
29.0, 18.3, -49.2
29.1, 14.6, -45.4
29.2, 11.0, -41.6
29.2, 7.3, -37.8
29.3, 3.6, -34.0
29.3, -0.1, -30.2
29.3, -3.8, -26.4
29.3, -7.5, -22.6
29.4, -11.3, -18.8
29.4, -15.0, -15.0
29.4, -18.8, -11.3
29.3, -22.6, -7.5
29.3, -26.4, -3.8
29.3, -30.2, -0.1
29.3, -34.0, 3.6
29.2, -37.8, 7.3
29.2, -41.6, 11.0
29.1, -45.4, 14.6
29.0, -49.2, 18.3
28.9, -53.0, 21.9
28.9, -56.8, 25.5
28.8, -60.6, 29.0
28.7, -64.3, 32.6
28.5, -68.1, 36.1
32.4, 37.6, -74.1
32.5, 34.1, -70.3
32.7, 30.6, -66.5
32.8, 27.0, -62.8
32.9, 23.4, -59.0
33.0, 19.8, -55.2
33.1, 16.2, -51.4
33.1, 12.6, -47.6
33.2, 8.9, -43.8
33.3, 5.2, -40.0
33.3, 1.5, -36.2
33.4, -2.2, -32.4
33.4, -5.9, -28.6
33.4, -9.7, -24.8
33.4, -13.4, -21.0
33.4, -17.2, -17.2
33.4, -21.0, -13.4
33.4, -24.8, -9.7
33.4, -28.6, -5.9
33.4, -32.4, -2.2
33.3, -36.2, 1.5
33.3, -40.0, 5.2
33.2, -43.8, 8.9
33.1, -47.6, 12.6
33.1, -51.4, 16.2
33.0, -55.2, 19.8
32.9, -59.0, 23.4
32.8, -62.8, 27.0
32.7, -66.5, 30.6
32.5, -70.3, 34.1
36.3, 35.7, -76.2
36.5, 32.2, -72.5
36.6, 28.6, -68.7
36.8, 25.0, -65.0
36.9, 21.4, -61.2
37.0, 17.8, -57.4
37.1, 14.2, -53.6
37.2, 10.5, -49.8
37.3, 6.8, -46.0
37.3, 3.1, -42.2
37.4, -0.6, -38.3
37.4, -4.3, -34.5
37.5, -8.1, -30.7
37.5, -11.8, -26.9
37.5, -15.6, -23.1
37.5, -19.4, -19.4
37.5, -23.1, -15.6
37.5, -26.9, -11.8
37.5, -30.7, -8.1
37.4, -34.5, -4.3
37.4, -38.3, -0.6
37.3, -42.2, 3.1
37.3, -46.0, 6.8
37.2, -49.8, 10.5
37.1, -53.6, 14.2
37.0, -57.4, 17.8
36.9, -61.2, 21.4
36.8, -65.0, 25.0
36.6, -68.7, 28.6
36.5, -72.5, 32.2
40.3, 33.7, -78.4
40.4, 30.2, -74.7
40.6, 26.6, -70.9
40.7, 23.0, -67.2
40.9, 19.4, -63.4
41.0, 15.8, -59.6
41.1, 12.1, -55.8
41.2, 8.4, -52.0
41.3, 4.7, -48.2
41.3, 1.0, -44.3
41.4, -2.7, -40.5
41.5, -6.4, -36.7
41.5, -10.2, -32.9
41.5, -13.9, -29.1
41.5, -17.7, -25.3
41.5, -21.5, -21.5
41.5, -25.3, -17.7
41.5, -29.1, -13.9
41.5, -32.9, -10.2
41.5, -36.7, -6.4
41.4, -40.5, -2.7
41.3, -44.3, 1.0
41.3, -48.2, 4.7
41.2, -52.0, 8.4
41.1, -55.8, 12.1
41.0, -59.6, 15.8
40.9, -63.4, 19.4
40.7, -67.2, 23.0
40.6, -70.9, 26.6
40.4, -74.7, 30.2
44.2, 31.8, -80.6
44.3, 28.2, -76.9
44.5, 24.6, -73.1
44.7, 21.0, -69.3
44.8, 17.4, -65.6
44.9, 13.7, -61.8
45.0, 10.1, -58.0
45.2, 6.4, -54.2
45.2, 2.7, -50.3
45.3, -1.1, -46.5
45.4, -4.8, -42.7
45.4, -8.5, -38.9
45.5, -12.3, -35.1
45.5, -16.1, -31.3
45.5, -19.9, -27.5
45.5, -23.7, -23.7
45.5, -27.5, -19.9
